HYBAS_ID,X,Y,beetle
7120085870,-100.0581666,24.48411049,0
7120085940,-99.47681253,19.05783121,0
7120086070,-98.44350857,19.95091998,0
7120086780,-101.7087126,25.26420015,0
7120086890,-100.1160763,24.4874372,0
7120087090,-99.19975396,20.9899215,0
7120087560,-99.81947689,23.43000323,0
7120088040,-99.12894003,21.03944814,0
7120089060,-100.0410886,24.4495434,0
7120089440,-99.58210811,17.46501713,0
7120709300,-116.1705039,32.60896525,0
7120710320,-116.0204142,32.5934147,0
7120710330,-115.9688951,32.50832401,0
7120714740,-116.4620623,32.41155072,0
7120715020,-115.7873021,32.41131838,0
7120715190,-115.849026,32.3458775,0
7120715310,-115.8751947,32.26241262,0
7120715820,-116.1200544,32.21595485,0
7120715830,-116.0377903,32.28120757,0
7120715900,-116.1085535,32.27388001,0
7120716250,-115.782877,32.24089283,0
7120719640,-116.3208086,32.19457168,0
7120719750,-116.2429602,32.13990054,0
7120721680,-116.0185134,32.09746037,0
7120721780,-115.9531047,32.02570682,0
7120721790,-115.7787295,32.0086126,0
7120721920,-115.7903203,31.95676105,0
7120722100,-115.7056905,31.89238693,0
7120722630,-116.1373784,32.07165659,0
7120725880,-115.6471416,31.80316926,0
7120726780,-115.6630666,31.70845362,0
7120731210,-115.9899382,31.56720879,0
7120734680,-108.9173848,31.37461489,0
7120734690,-108.7975709,31.33301928,0
7120735090,-115.6043443,31.34074417,0
7120735230,-115.6362061,31.23255308,0
7120736920,-108.8688602,31.24188248,0
7120737020,-108.9238111,31.19820251,0
7120737500,-115.4937863,31.30204294,0
7120737630,-115.4764696,31.21769434,0
7120737640,-108.6536488,31.24473488,0
7120738120,-115.4222608,31.15723461,0
7120738520,-115.3950003,31.07472883,0
7120739220,-109.0507212,31.16265949,0
7120739230,-108.6564282,31.18826736,0
7120739520,-115.662101,31.15300307,0
7120739620,-115.5944061,31.079902,0
7120741730,-108.7229461,31.09859757,0
7120742000,-110.6505098,31.05663121,0
7120742050,-108.793797,31.08233703,0
7120744380,-105.3952743,30.84947833,0
7120744410,-105.3647274,30.70598788,0
7120744470,-110.6702809,30.85587946,0
7120744520,-110.6798246,30.76503442,0
7120744570,-115.5517773,30.84926639,0
7120744650,-115.5437044,30.78626782,0
7120744750,-115.6293216,30.90808898,0
7120745750,-109.973765,30.84105518,0
7120746020,-105.2682623,30.61468203,0
7120746130,-115.2147592,30.66740255,0
7120749640,-115.3643184,30.59325378,0
7120749650,-115.3061494,30.60834721,0
7120756500,-108.7545049,29.98783053,0
7120757020,-108.3340805,29.98764531,0
7120757360,-108.4531288,30.03722539,0
7120757370,-108.2453704,29.95879494,0
7120758940,-108.7389409,29.88557202,0
7120759120,-108.5670855,29.97596546,0
7120759180,-108.5151572,29.89333695,0
7120759400,-108.1027407,29.85874736,0
7120759470,-108.7207811,29.8064161,0
7120759990,-108.6258166,29.75318776,0
7120760100,-108.4949307,29.80594997,0
7120760160,-108.5407832,29.72600341,0
7120761750,-108.2731582,29.72292975,0
7120761790,-108.386093,29.63228155,0
7120763020,-108.2292276,29.65703337,0
7120763080,-108.1288689,29.63497692,0
7120763530,-102.1799313,29.43535577,0
7120763590,-108.6695739,29.63268701,0
7120763600,-108.603136,29.59094276,0
7120763630,-102.2694073,29.47300982,0
7120763780,-108.2460155,29.55780694,0
7120763790,-108.1470346,29.51841248,0
7120764950,-114.0169934,29.36928999,0
7120765030,-108.3605294,29.47972524,0
7120765140,-108.2734819,29.48911486,0
7120765310,-108.0953991,29.42595999,0
7120765320,-107.9980427,29.53810843,0
7120765390,-108.4922472,29.48395816,0
7120765830,-108.2710187,29.36866476,0
7120766070,-102.7102467,29.21982879,0
7120766460,-102.2577951,29.19198975,0
7120767420,-102.5426854,29.19983764,0
7120767470,-102.6217775,29.15290072,0
7120767600,-102.4728282,29.06399682,0
7120767820,-101.9281743,29.19286433,0
7120767870,-101.9292857,29.11960113,0
7120767980,-102.0660627,29.14835734,0
7120768030,-102.0319487,29.11377033,0
7120769080,-102.2439557,29.09000134,0
7120769390,-102.7210404,29.0910228,0
7120769580,-106.5225006,29.00767557,0
7120770190,-108.3856776,28.98806495,0
7120770650,-102.691408,28.95328898,0
7120771890,-108.3279153,28.78152331,0
7120771920,-102.5823355,28.88865574,0
7120772110,-108.1918476,28.75711286,0
7120772120,-106.6681303,28.875724,0
7120773170,-108.2206825,28.6866781,0
7120773320,-108.1642003,28.63197186,0
7120773330,-108.0627365,28.62966346,0
7120773950,-102.0985765,28.77478524,0
7120774840,-102.477484,28.58179235,0
7120774920,-102.0244285,28.53138113,0
7120774970,-107.8873986,28.48963576,0
7120775560,-107.8317333,28.40134307,0
7120775610,-108.8730509,28.42715838,0
7120775660,-108.7364904,28.41468678,0
7120775750,-107.6732695,28.37632265,0
7120775790,-107.7186318,28.27850977,0
7120776120,-107.5054029,28.33944346,0
7120776310,-109.1008721,28.42977033,0
7120776540,-107.9196675,28.3816249,0
7120776560,-107.8113184,28.28179954,0
7120776710,-103.1993388,28.34914867,0
7120776860,-107.4648456,28.2555925,0
7120777120,-107.9317264,28.24407257,0
7120777170,-107.8695458,28.19002025,0
7120777220,-106.7894921,28.30554615,0
7120777340,-102.5551136,28.26017199,0
7120777350,-109.1530242,28.31618093,0
7120777360,-107.3799868,28.13475451,0
7120777820,-107.5928404,28.12554664,0
7120777830,-107.4480832,28.06284474,0
7120777920,-108.9485032,28.24154172,0
7120777990,-102.9730098,28.11789582,0
7120778060,-108.9232951,28.12844698,0
7120778200,-109.025548,28.20678026,0
7120778270,-108.9760374,28.06448415,0
7120778300,-103.0881594,28.11790216,0
7120778400,-108.8487726,28.21503227,0
7120778410,-108.7773098,28.16955705,0
7120779240,-108.3864218,28.14829225,0
7120779350,-108.8163205,28.08137542,0
7120779420,-108.6909128,28.07628074,0
7120779950,-108.0511829,28.03399642,0
7120780010,-107.9873077,27.97819508,0
7120780140,-107.6769945,27.98201805,0
7120780150,-107.5766329,27.99787362,0
7120780180,-108.7673819,27.99077437,0
7120780210,-108.8498648,27.99918719,0
7120780240,-107.2278437,28.01057284,0
7120780310,-107.2803719,27.97067158,0
7120780580,-108.9059796,27.95798695,0
7120780620,-106.7949378,27.89512468,0
7120780930,-107.9583438,27.91285262,0
7120781000,-107.8979065,27.83888897,0
7120781140,-107.2088883,27.90517551,0
7120781160,-106.9999394,27.85297335,0
7120781230,-106.8528156,27.83606232,0
7120781620,-108.1004164,27.90492967,0
7120781710,-107.1920531,27.84844717,0
7120782250,-108.7093753,27.6456584,0
7120782290,-107.9326303,27.72472291,0
7120782330,-107.9591622,27.66188374,0
7120782390,-107.5886128,27.81756009,0
7120782400,-107.5028935,27.80107308,0
7120782420,-107.1672798,27.73465446,0
7120782710,-107.2005554,27.62745026,0
7120782720,-107.1140538,27.56228432,0
7120782740,-101.9880503,27.54715468,0
7120782760,-107.066848,27.59786348,0
7120782950,-107.8330702,27.73599802,0
7120782960,-107.7955066,27.66339465,0
7120783320,-106.9404853,27.5465361,0
7120783360,-106.9774845,27.47528475,0
7120783420,-106.838153,27.6645771,0
7120783440,-107.2379382,27.51060727,0
7120783500,-107.1565233,27.47809639,0
7120783510,-106.9117083,27.449101,0
7120783520,-107.7213392,27.59502082,0
7120783590,-107.7261669,27.49766937,0
7120783830,-107.5776855,27.59664883,0
7120783930,-107.625341,27.45121762,0
7120784110,-108.1550655,27.5522472,0
7120784660,-107.4877081,27.50254487,0
7120784700,-107.4802862,27.42430854,0
7120784990,-102.100447,27.51460758,0
7120785640,-106.888255,27.3352401,0
7120785690,-106.8482431,27.24951811,0
7120785780,-107.862868,27.39975851,0
7120785790,-107.2234102,27.35380428,0
7120785840,-107.7282608,27.35255744,0
7120785920,-107.3082982,27.21762807,0
7120785930,-102.7460804,27.21747451,0
7120786220,-107.0911855,27.375048,0
7120786280,-107.1319469,27.25304556,0
7120786360,-107.1660188,27.3430139,0
7120786410,-107.1967354,27.16577011,0
7120786420,-107.0481911,27.22261937,0
7120786490,-107.1211344,27.15903312,0
7120786850,-106.5269006,27.24038882,0
7120786910,-106.5069027,27.18453059,0
7120787160,-102.4218362,27.13841686,0
7120787280,-102.3752555,27.10742251,0
7120787320,-101.8784563,27.22695916,0
7120787370,-101.938612,27.17975591,0
7120787500,-107.5623577,27.23889693,0
7120787600,-107.5441973,27.09298127,0
7120787610,-107.4717212,27.20496045,0
7120787640,-107.4292011,27.12235104,0
7120787990,-102.2785945,27.07681639,0
7120788130,-106.5153914,27.09383538,0
7120788170,-106.8074441,27.05189239,0
7120788180,-106.7418039,26.97861329,0
7120788230,-107.6549937,27.0805837,0
7120788460,-106.9004422,27.07472548,0
7120788500,-107.3210241,27.07540865,0
7120788510,-106.8397771,26.95314176,0
7120788590,-107.3054098,26.95915436,0
7120788610,-101.8489568,27.03224691,0
7120788910,-101.8615638,26.94570377,0
7120789280,-106.518962,26.99570972,0
7120789500,-106.4399508,26.93983453,0
7120789720,-102.6007319,27.05632398,0
7120789730,-107.9302892,26.84181594,0
7120789760,-102.5872241,26.96788636,0
7120789850,-102.672022,26.83354908,0
7120789860,-102.2621982,26.95791781,0
7120790000,-102.5327841,26.95932693,0
7120790060,-102.5575297,26.83024291,0
7120790110,-102.3801149,26.89874001,0
7120790200,-106.5592038,26.88387195,0
7120790240,-106.4789799,26.77997349,0
7120790390,-106.4007167,26.75717908,0
7120790650,-107.7312648,26.79686601,0
7120790670,-102.0232839,26.77623721,0
7120790810,-106.5408336,26.82747002,0
7120790910,-106.6814155,26.83194421,0
7120790960,-106.6322019,26.74429928,0
7120790990,-106.5920269,26.68150918,0
7120791020,-107.9036994,26.71849377,0
7120791030,-107.825928,26.67696371,0
7120791040,-106.54016,26.70674783,0
7120791470,-107.6511777,26.7133309,0
7120791560,-107.5092374,26.82845976,0
7120791610,-107.495004,26.75308095,0
7120791800,-108.1802248,26.76677888,0
7120791850,-108.1581978,26.68250938,0
7120791860,-106.1321616,26.7238692,0
7120791920,-106.1452213,26.60739632,0
7120791970,-107.3090733,26.78030594,0
7120791990,-107.2950538,26.68561744,0
7120792030,-107.7352785,26.63502185,0
7120792040,-107.3650942,26.61364921,0
7120792050,-107.3724181,26.69852077,0
7120792070,-107.6540355,26.60555837,0
7120792090,-107.0342117,26.7664255,0
7120792120,-107.0096443,26.66616907,0
7120792150,-106.9448005,26.73982084,0
7120792160,-106.3194609,26.60101092,0
7120792190,-106.9505343,26.62275454,0
7120792200,-106.2328418,26.54461842,0
7120792290,-106.8852121,26.76820344,0
7120792300,-106.8306986,26.70590129,0
7120792410,-106.8720375,26.62633167,0
7120792420,-105.9044491,26.66963464,0
7120792460,-107.1379275,26.67086431,0
7120792470,-105.9601728,26.58321274,0
7120792520,-107.507805,26.60120605,0
7120792530,-107.1306431,26.58305747,0
7120792540,-106.9439624,26.57608765,0
7120792560,-107.5743722,26.55905937,0
7120792680,-102.611998,26.70320586,0
7120792750,-106.8607829,26.57318277,0
7120792770,-106.9440838,26.51524429,0
7120792790,-106.7522319,26.58765337,0
7120792830,-106.7625298,26.51906682,0
7120792900,-107.2019492,26.49582024,0
7120792910,-107.0547689,26.50542412,0
7120792940,-103.0985416,26.61421548,0
7120793010,-107.8744301,26.54601389,0
7120793020,-107.9250678,26.46936367,0
7120793080,-106.8775209,26.44822894,0
7120793090,-106.7445327,26.45696353,0
7120793220,-103.0707921,26.52983735,0
7120793450,-101.2880465,26.3834139,0
7120793530,-106.3242362,26.45831451,0
7120793540,-106.1889314,26.41367253,0
7120793570,-101.1669429,26.50159549,0
7120793620,-106.5688142,26.46862986,0
7120793670,-106.51099,26.40416218,0
7120793690,-101.1325037,26.38832819,0
7120793780,-106.7039911,26.35205943,0
7120793830,-106.8528209,26.36675129,0
7120793910,-106.6451895,26.44620094,0
7120793940,-100.4148522,26.35600137,0
7120794000,-106.6255269,26.39021364,0
7120794090,-102.8917515,26.47464911,0
7120794160,-106.4871365,26.31566641,0
7120794210,-106.5815713,26.30341257,0
7120794440,-106.2589737,26.32521526,0
7120794450,-106.1611166,26.33625629,0
7120794490,-105.7843603,26.3808565,0
7120794500,-105.7478786,26.43966121,0
7120794830,-101.748176,26.35044401,0
7120794840,-106.3430273,26.28258536,0
7120794870,-106.2657793,26.19384104,0
7120795090,-107.7679502,26.35020382,0
7120795130,-107.6353029,26.30997354,0
