partnerid,stream,deploy_date
46,3,1/29/16
46,4,2/1/16
47,1,9/5/15
47,2,9/5/15
47,3,9/5/15
47,4,9/5/16
92,1,7/22/15
92,2,7/22/15
92,3,7/23/15
92,4,7/23/15
48,1,3/12/16
48,2,3/12/16
48,3,3/12/16
48,4,3/13/16
93,1,8/4/15
93,2,8/4/15
93,3,8/4/15
93,4,8/4/15
123,1,12/30/15
123,2,12/30/15
123,3,12/30/15
123,4,12/30/15
94,1,11/24/15
94,2,11/24/15
94,3,11/24/15
94,4,11/24/15
49,1,6/28/16
49,2,7/2/16
49,3,6/28/16
49,4,7/2/16
50,1,1/29/16
50,2,1/29/16
50,3,1/29/16
50,4,1/29/16
124,1,10/22/15
124,2,10/22/15
124,3,10/22/15
124,4,10/22/15
125,1,1/30/16
125,2,1/30/16
125,3,1/30/16
125,4,1/30/16
51,1,8/4/15
51,2,8/4/15
51,3,8/4/15
51,4,8/4/15
52,1,9/2/15
52,2,9/2/15
52,3,9/2/15
52,4,9/2/15
53,1,6/16/16
53,2,6/16/16
53,3,6/16/16
53,4,6/16/16
54,1,12/15/15
54,2,12/15/15
54,3,12/15/15
54,4,12/15/15
126,1,10/27/15
126,2,10/27/15
126,3,10/27/15
126,4,10/27/15
127,1,9/6/15
127,2,9/7/15
127,3,9/9/15
127,4,9/8/15
55,1,10/2/15
55,2,10/2/15
55,3,10/9/15
55,4,10/9/15
56,1,9/25/15
56,2,9/25/15
56,3,9/25/15
56,4,9/25/15
128,1,12/16/15
128,2,12/16/15
128,3,12/17/15
128,4,12/17/15
129,1,10/17/15
129,2,10/17/15
129,3,10/17/15
129,4,10/17/15
57,1,10/2/15
57,2,10/2/15
57,3,10/6/15
57,4,10/6/15
57,5,10/6/15
57,6,10/2/15
57,7,10/2/15
57,8,10/2/15
57,9,10/5/15
57,10,10/6/15
57,11,10/5/15
57,12,10/5/15
130,1,2/4/16
130,2,2/4/16
130,3,2/4/16
130,4,2/4/16
58,1,8/18/15
58,2,8/18/15
58,3,8/19/15
