No,Citiation,lat,lon,sitecode,logk,stage,Method,climate zone,Ecosystem,Vegetation,Litter.type,Aspect,Elevation,Slope,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,Bulk density,Clay,pH,SOC,N,CEC,EVI,LAI,NPP,SFP,SBD,Initial.C,Initial.N,Initial.C.N
15,Gosz.1973,43.93333333,71.75,5,-0.650877953,mid,Directly,Arid climates,Forest,Broadleaved,Branch,East,770,0.199407488,11.45,11.8,0.273000002,1181.4,33.85,-9.35,43.2,12.35,24.25,26.55,-4.05,217,27.7,6.9,36.6,306.1,26,30.8,63.1,1.38,29.3,7.8,15.6,1.629,207,1213.243652,2.853571415,1186.599976,10.55935472,0.295814455,NA,8.8,NA
16,Gosz.1973,43.93333333,71.75,5,-0.76130169,mid,Directly,Arid climates,Forest,Broadleaved,Branch,East,770,0.199407488,11.45,11.8,0.273000002,1181.4,33.85,-9.35,43.2,12.35,24.25,26.55,-4.05,217,27.7,6.9,36.6,306.1,26,30.8,63.1,1.38,29.3,7.8,15.6,1.629,207,1213.243652,2.853571415,1186.599976,10.55935472,0.295814455,NA,8.6,NA
17,Gosz.1973,43.93333333,71.75,5,-0.536420533,mid,Litter bag,Arid climates,Forest,Broadleaved,Leaf,East,770,0.199407488,11.45,11.8,0.273000002,1181.4,33.85,-9.35,43.2,12.35,24.25,26.55,-4.05,217,27.7,6.9,36.6,306.1,26,30.8,63.1,1.38,29.3,7.8,15.6,1.629,207,1213.243652,2.853571415,1186.599976,10.55935472,0.295814455,445,8.2,54.27
18,Gosz.1973,43.93333333,71.75,5,-0.304605892,mid,Litter bag,Arid climates,Forest,Broadleaved,Leaf,East,770,0.199407488,11.45,11.8,0.273000002,1181.4,33.85,-9.35,43.2,12.35,24.25,26.55,-4.05,217,27.7,6.9,36.6,306.1,26,30.8,63.1,1.38,29.3,7.8,15.6,1.629,207,1213.243652,2.853571415,1186.599976,10.55935472,0.295814455,423,5.7,74.21
19,Gosz.1973,43.93333333,71.75,5,-0.143923948,mid,Litter bag,Arid climates,Forest,Broadleaved,Leaf,East,770,0.199407488,11.45,11.8,0.273000002,1181.4,33.85,-9.35,43.2,12.35,24.25,26.55,-4.05,217,27.7,6.9,36.6,375.3,26,30.8,63.1,1.38,29.3,7.8,15.6,1.629,207,1213.243652,2.853571415,1186.599976,10.55935472,0.295814455,433,8.5,50.94
20,Luosier.1976,51.33333333,-115.6666667,6,-0.919553905,mid,Litter bag,Continental/microthermal climates,Forest,Broadleaved,Leaf,North,1400,7.914889336,-3.25,10.1,0.286999989,873.6,15.65,-19.45,35.1,8.05,-14.25,8.05,-14.25,996.7,153,42.1,44.1,375.3,136.5,401.6,136.5,0.93,16.5,5.8,35.6,4.572,268,2000.865967,7.345535755,4224.899902,20.28346956,0.678093612,NA,NA,NA
21,Luosier.1976,51.33333333,-115.6666667,6,-0.905668651,mid,Litter bag,Continental/microthermal climates,Forest,Broadleaved,Leaf,North,1400,7.914889336,-3.25,10.1,0.286999989,873.6,15.65,-19.45,35.1,8.05,-14.25,8.05,-14.25,996.7,153,42.1,44.1,375.3,136.5,401.6,136.5,0.93,16.5,5.8,35.6,4.572,268,2000.865967,7.345535755,4224.899902,20.28346956,0.678093612,NA,NA,NA
22,Luosier.1976,51.33333333,-115.6666667,6,-0.718489399,mid,Litter bag,Continental/microthermal climates,Forest,Broadleaved,Leaf,North,1400,7.914889336,-3.25,10.1,0.286999989,873.6,15.65,-19.45,35.1,8.05,-14.25,8.05,-14.25,996.7,153,42.1,44.1,375.3,136.5,401.6,136.5,0.93,16.5,5.8,35.6,4.572,268,2000.865967,7.345535755,4224.899902,20.28346956,0.678093612,NA,NA,NA
23,Luosier.1976,51.33333333,-115.6666667,6,-0.660946264,mid,Litter bag,Continental/microthermal climates,Forest,Broadleaved,Leaf,North,1400,7.914889336,-3.25,10.1,0.286999989,873.6,15.65,-19.45,35.1,8.05,-14.25,8.05,-14.25,996.7,153,42.1,44.1,541.4,136.5,401.6,136.5,0.93,16.5,5.8,35.6,4.572,268,2000.865967,7.345535755,4224.899902,20.28346956,0.678093612,NA,NA,NA
24,Springe.1976,-31.7394179,115.8559042,7,0.171796637,early,Litter bag,Mediterranean-type climates,Forest,Coniferous,Leaf,South,66,0.468809783,18.45,9.5,0.444999981,413.2,30.55,9.15,21.4,13.45,23.65,23.85,13.45,759.3,151.8,8.9,83.1,541.4,36.5,48.6,424.6,1.23,11,6.1,54.9,1.646,239,2565.576172,8.64866066,9247.099609,12.49503642,0.465241194,NA,NA,NA
25,Springe.1976,-31.7394179,115.8559042,7,0.648826261,mid,Litter bag,Mediterranean-type climates,Forest,Coniferous,Leaf,South,66,0.468809783,18.45,9.5,0.444999981,413.2,30.55,9.15,21.4,13.45,23.65,23.85,13.45,759.3,151.8,8.9,83.1,541.4,36.5,48.6,424.6,1.23,11,6.1,54.9,1.646,239,2565.576172,8.64866066,9247.099609,12.49503642,0.465241194,NA,NA,NA
26,Grigal.1977,46,-94,8,-0.316133801,mid,Litter bag,Continental/microthermal climates,Forest,Broadleaved,Leaf,South,390,0.097643979,5.85,8.8,0.213000011,1132.9,26.25,-14.95,41.2,19.85,-9.45,19.85,-9.45,757.5,119.4,18,53.2,541.4,58,311.8,58,1.19,12.4,5.6,56,4.433,246,2592.352051,11.81875038,5644.700195,18.19241792,0.402438194,NA,7.3,NA
27,Grigal.1977,46,-94,8,-0.280677001,mid,Litter bag,Continental/microthermal climates,Forest,Broadleaved,Leaf,South,390,0.097643979,5.85,8.8,0.213000011,1132.9,26.25,-14.95,41.2,19.85,-9.45,19.85,-9.45,757.5,119.4,18,53.2,131,58,311.8,58,1.19,12.4,5.6,56,4.433,246,2592.352051,11.81875038,5644.700195,18.19241792,0.402438194,NA,7.3,NA
28,Grigal.1977,46,-94,8,-0.524532208,mid,Litter bag,Continental/microthermal climates,Forest,Broadleaved,Leaf,South,390,0.097643979,5.85,8.8,0.213000011,1132.9,26.25,-14.95,41.2,19.85,-9.45,19.85,-9.45,757.5,119.4,18,53.2,131,58,311.8,58,1.19,12.4,5.6,56,4.433,246,2592.352051,11.81875038,5644.700195,18.19241792,0.402438194,NA,7.4,NA
29,Kelly.1978,37.510326,-90.8404,9,0.027683865,mid,Litter bag,Continental/microthermal climates,Forest,Broadleaved,Leaf,South,249,0.243702248,13.45,9.7,0.281999993,881,31.05,-3.35,34.4,18.55,1.55,24.55,1.55,1170.5,133.7,64.8,18.4,131,226.5,294.3,226.5,1.3,19.9,6.2,46.9,4.31,165,2591.822266,16.2165184,5163.899902,16.36656821,0.460283875,NA,NA,NA
30,Maclean.1978,47.03333333,-65.76666667,10,-0.597188573,mid,Litter bag,Continental/microthermal climates,Forest,Coniferous,Leaf,South,3,1.384954095,4.95,9.2,0.23499999,1007.8,23.95,-15.15,39.1,7.05,-2.65,17.55,-8.45,1146.4,114.7,66.8,13.8,131,228.2,305.2,255.3,1.1,15.2,4.4,71.8,5.534,448,3876.165527,21.30669594,6921.899902,21.24812007,0.598547757,NA,12.45,NA
31,Maclean.1978,47.03333333,-65.76666667,10,-0.574156145,mid,Litter bag,Continental/microthermal climates,Forest,Coniferous,Leaf,South,3,1.384954095,4.95,9.2,0.23499999,1007.8,23.95,-15.15,39.1,7.05,-2.65,17.55,-8.45,1146.4,114.7,66.8,13.8,533,228.2,305.2,255.3,1.1,15.2,4.4,71.8,5.534,448,3876.165527,21.30669594,6921.899902,21.24812007,0.598547757,NA,13,NA
32,Maclean.1978,47.03333333,-65.76666667,10,-0.630580035,mid,Litter bag,Continental/microthermal climates,Forest,Coniferous,Leaf,South,3,1.384954095,4.95,9.2,0.23499999,1007.8,23.95,-15.15,39.1,7.05,-2.65,17.55,-8.45,1146.4,114.7,66.8,13.8,533,228.2,305.2,255.3,1.1,15.2,4.4,71.8,5.534,448,3876.165527,21.30669594,6921.899902,21.24812007,0.598547757,NA,11.03,NA
33,Maclean.1978,47.03333333,-65.76666667,10,-0.956637722,early,Litter bag,Continental/microthermal climates,Forest,Coniferous,Branch,South,3,1.384954095,4.95,9.2,0.23499999,1007.8,23.95,-15.15,39.1,7.05,-2.65,17.55,-8.45,1146.4,114.7,66.8,13.8,533,228.2,305.2,255.3,1.1,15.2,4.4,71.8,5.534,448,3876.165527,21.30669594,6921.899902,21.24812007,0.598547757,NA,1.62,NA
34,Maclean.1978,47.03333333,-65.76666667,10,-1.420216403,early,Litter bag,Continental/microthermal climates,Forest,Coniferous,Branch,South,3,1.384954095,4.95,9.2,0.23499999,1007.8,23.95,-15.15,39.1,7.05,-2.65,17.55,-8.45,1146.4,114.7,66.8,13.8,533,228.2,305.2,255.3,1.1,15.2,4.4,71.8,5.534,448,3876.165527,21.30669594,6921.899902,21.24812007,0.598547757,NA,1.96,NA
35,Maclean.1978,47.03333333,-65.76666667,10,-0.978727986,early,Litter bag,Continental/microthermal climates,Forest,Coniferous,Branch,South,3,1.384954095,4.95,9.2,0.23499999,1007.8,23.95,-15.15,39.1,7.05,-2.65,17.55,-8.45,1146.4,114.7,66.8,13.8,330,228.2,305.2,255.3,1.1,15.2,4.4,71.8,5.534,448,3876.165527,21.30669594,6921.899902,21.24812007,0.598547757,NA,2.49,NA
36,Maclean.1978,47.03333333,-65.76666667,10,-0.132797766,mid,Litter bag,Continental/microthermal climates,Forest,Broadleaved,Leaf,South,3,1.384954095,4.95,9.2,0.23499999,1007.8,23.95,-15.15,39.1,7.05,-2.65,17.55,-8.45,1146.4,114.7,66.8,13.8,330,228.2,305.2,255.3,1.1,15.2,4.4,71.8,5.534,448,3876.165527,21.30669594,6921.899902,21.24812007,0.598547757,NA,15.55,NA
37,Maclean.1978,47.03333333,-65.76666667,10,-0.245605791,mid,Litter bag,Continental/microthermal climates,Forest,Broadleaved,Leaf,South,3,1.384954095,4.95,9.2,0.23499999,1007.8,23.95,-15.15,39.1,7.05,-2.65,17.55,-8.45,1146.4,114.7,66.8,13.8,330,228.2,305.2,255.3,1.1,15.2,4.4,71.8,5.534,448,3876.165527,21.30669594,6921.899902,21.24812007,0.598547757,NA,15.22,NA
38,Maclean.1978,47.03333333,-65.76666667,10,-0.266233147,mid,Litter bag,Continental/microthermal climates,Forest,Broadleaved,Leaf,South,3,1.384954095,4.95,9.2,0.23499999,1007.8,23.95,-15.15,39.1,7.05,-2.65,17.55,-8.45,1146.4,114.7,66.8,13.8,330,228.2,305.2,255.3,1.1,15.2,4.4,71.8,5.534,448,3876.165527,21.30669594,6921.899902,21.24812007,0.598547757,NA,15.09,NA
