"","Genus","N_Litter_Mn","P_Litter_Mn","C_Litter_Mn","Lignin_Litter_Mn","Cellulose_Litter_Mn","CtoN_Litter_Mn","NtoP_Litter_Mn","X","N_Leaf_Mn","N_Leaf_Med","P_Leaf_Mn","P_Leaf_Med","NtoP_Leaf_Mn","NtoP_Leaf_Med","Thick_Mn","Thick_Med","C_Leaf_Mn","C_Leaf_Med","CtoN_Leaf_Mn","CtoN_Leaf_Med","Ca_Leaf_Mn","Ca_Leaf_Med"
"132","Rhododendron",0.478333333333333,0.0166666666666667,48.0666666666667,20.575,27.8666666666667,132.36,70.7,53,1.346575046,1.336562441,0.108177125,0.108359899,13.40432382,13.33877077,0.288294626,0.287313725,45.54838802,45.68754194,34.45749353,34.45749353,1.167048889,1.1652
"133","Rhoicissus",NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Ribes",1.05,0.18,NA,NA,NA,NA,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Richeria",0.38,0.01,NA,NA,NA,NA,84.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Rubus",NA,NA,NA,NA,NA,NA,NA,54,2.25859018,2.254018511,0.217235192,0.216756045,12.90444216,12.9080044,0.1781875,0.178038194,43.98179523,43.9767374,22.96258759,22.93649527,1.4675,1.4675
"137","Saccharum",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Salix",1.19,0.0842857142857143,46.7,25.6333333333333,NA,33.98,29.8428571428571,55,2.366129036,2.368469477,0.214539171,0.213230492,12.81032113,12.92185551,0.193128867,0.196248895,47.92031717,48.0222704,21.83001039,21.90285925,2.009632653,2.023428571
"139","Sambucus",3.19,0.18,43,NA,NA,16.1,36.5,56,3.386671341,3.372745283,0.269878701,0.273029404,13.76128542,14.00228871,0.109684314,0.1065,42.97111514,42.93187533,10.45255523,11.3809759,1.63,1.64
"140","Sapium",1.23,0.06,NA,NA,NA,NA,45.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Saurauia",0.59,0.05,NA,NA,NA,NA,26.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Schefflera",2.3,0.2,51.4,NA,NA,26.4,29.6,57,1.751549024,1.736138062,0.122026675,0.113639298,16.8321517,17.10394736,0.36883767,0.319245,47.6312922,47.50733672,29.03611356,29.02901617,1.631435249,1.609500275
"143","Schizostachyum",0.6,0.01,NA,NA,NA,NA,132.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Schoenoplectus",0.45,0,37.9,8.1,NA,100.5,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Sebastiania",0.39,0.02,NA,NA,NA,NA,43.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Simira",2.02,0.115,44.9,15.3,22.9,25.6,37.15,58,2.339848909,2.126183439,0.173546404,0.181885467,24.66666667,24.66666667,0.154541015,0.161053505,47.24902788,47.43049425,18.07904383,18.34435917,1.201469235,1.068134615
"147","Sloanea",1.08,0.03,NA,NA,NA,NA,79.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","Solanum",2.57,0.13,NA,NA,NA,NA,43.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Sorocea",1.71,0.16,NA,NA,NA,NA,23.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Swietenia",0.59,0.03,NA,NA,NA,NA,43.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Symplocos",1.56,0.06,NA,NA,NA,NA,57.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Syzygium",0.573333333333333,0.04,NA,NA,NA,NA,33.6333333333333,59,1.335287563,1.348906714,0.090825919,0.094221208,17.10447414,17.32376012,0.410452381,0.348333333,51.53910023,51.51682256,42.75943629,42.75943629,0.962733333,0.928
"153","Tabernaemontana",1.85,0.11,NA,NA,NA,NA,37.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Tachigali",0.73,0.03,NA,NA,NA,NA,53.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Tamarix",0.666666666666667,0,44.4333333333333,4.3,NA,83.7,30.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Tectona",NA,NA,NA,NA,NA,20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Telopea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Terminalia",1.24,0.085,41.35,7,17.5,56.5,39.75,60,1.978500735,1.973454243,0.141105495,0.143203379,17.71123689,18.0936316,0.223414445,0.221227768,44.27009924,44.39192933,24.13134812,24.08184606,1.522051555,1.451699084
"159","Tessaria",3.9,0,NA,11,19.2,NA,235.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Tibouchina",0.68,0.04,NA,NA,NA,NA,37.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Tilia",1.2,0.145,NA,16.6,24.2,42.5,16.3333333333333,61,2.390968835,2.389004078,0.234510975,0.238039866,12.221702,11.4654411,0.16027223,0.161219624,45.24249539,45.67458547,28.76559824,28.56330754,1.945,1.945
"162","Trema",1.475,0.1,35.175,3.45,11.9,28,36.95,62,2.606943455,2.632760507,0.211412311,0.208000802,16.98117129,16.64481356,0.196337079,0.196333333,44.34913117,44.34913117,14.65701673,14.65701673,1.676666667,1.62
"163","Tsuga",1.16,0.1,50.06,24,NA,54.68,50.7,63,1.060968889,1.065071429,0.137554076,0.138,7.962161675,7.098211392,7.619458333,7.617833333,46.82,46.82,57.2,57.2,1.201541909,1.188305945
"164","Turraea",0.975,0.05,NA,NA,NA,NA,48.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Typha",0.4,0,NA,7.9,NA,NA,33.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Ulmus",1.1375,0.125,44.45,12.88,7.4,56.3833333333333,19.225,64,2.145327709,2.189974218,0.189717513,0.183638791,13.63925551,13.83010314,0.174123408,0.169910058,41.032666,41.6581719,32.17552362,31.8265999,3.31,3.31
"167","Urochloa",2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Virola",1.38,0.07,NA,NA,NA,NA,43.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Vismia",0.85,0.04,NA,NA,NA,NA,47.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Vitex",1.18,0.01,NA,NA,NA,NA,261.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Wilkiea",2.07,0.07,NA,NA,NA,NA,65.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Zanthoxylum",0.85,0.06,NA,NA,NA,NA,31.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Zea",1.71428571428571,NA,45.2285714285714,5.2,NA,32.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Zygia",2.04,0.0833333333333333,46.55,24.9,23.15,27.65,75.8333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
