"","Genus","N_Litter_Mn","P_Litter_Mn","C_Litter_Mn","Lignin_Litter_Mn","Cellulose_Litter_Mn","CtoN_Litter_Mn","NtoP_Litter_Mn","X","N_Leaf_Mn","N_Leaf_Med","P_Leaf_Mn","P_Leaf_Med","NtoP_Leaf_Mn","NtoP_Leaf_Med","Thick_Mn","Thick_Med","C_Leaf_Mn","C_Leaf_Med","CtoN_Leaf_Mn","CtoN_Leaf_Med","Ca_Leaf_Mn","Ca_Leaf_Med"
"30","Castanopsis",1.15,NA,49.8,NA,NA,48.4,NA,16,1.505965653,1.495954122,0.107520368,0.097623921,20.50632376,20.22451591,0.249776364,0.249776364,45.81600841,45.65080679,38.74074931,36.24007772,0.535333333,0.514
"31","Castilla",2.14333333333333,0.153333333333333,40.55,10.5,18.05,23.05,32.0333333333333,17,2.495951347,2.42978524,0.146865978,0.161543384,16.5418884,16.5418884,0.253125,0.265,44.09241609,44.12700433,18.61285644,18.68301142,1.276638282,1.276638282
"32","Catanea",0.9,NA,54.7,12.1,17.6,75.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Cecropia",1.53,0.095,NA,NA,NA,NA,44.5,18,2.607964969,2.599946377,0.155312498,0.156351022,19.52652754,19.73083659,0.284978528,0.283139764,46.69728606,46.44277717,17.09209207,16.93723852,0.21738,0.21738
"34","Cheilosa",1.34,0.05,NA,NA,NA,NA,59.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Chionanthus",1.5,0.05,NA,NA,NA,NA,66.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Chionochloa",0.3,0,NA,NA,NA,NA,18.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Chusquea",0.51,0.035,NA,NA,NA,NA,30.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Cinnamomum",0.77,0.04,NA,NA,NA,NA,42.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Citharexylum",0.86,0.04,NA,NA,NA,NA,47.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Clidemia",1.3,NA,45.2,16,12.4,42.2,NA,19,1.983424325,1.964739206,0.092402083,0.089333333,19.15502646,19.24074074,0.183420139,0.180625,46,46,18.11023622,18.11023622,1.12,1.12
"41","Clusia",1.02,0.05,NA,NA,NA,NA,45.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Cornus",1.13142857142857,0.123333333333333,44.1,11.5,12.4,62.9,23.2,20,1.867049988,1.872933672,0.203577853,0.19479357,9.235658939,9.189249801,0.160023632,0.161703769,42.94077777,42.9824322,27.56805732,27.53911066,2.3475,2.3475
"43","Corylus",1.20142857142857,0.0925,44.7666666666667,19.8333333333333,21.2,52.5,46.98,21,2.096571375,2.135665385,0.189992147,0.189159963,10.73529376,10.97019536,0.140528571,0.148,40.52843735,40.71853708,18.54401888,17.48473755,2.03,2.03
"44","Corymbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Critoniopsis",2.55,0.11,NA,NA,NA,NA,51.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Croton",1.9,NA,46.4,26.4,22.1,28.3,NA,22,3.050027375,3.047548607,0.158789812,0.158772326,11.23153414,11.23376623,0.22034445,0.217923077,42.52693293,42.54167865,16.60045103,16.60538477,2.60163438,2.60163438
"47","Cryptocarpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Cunonia",NA,NA,NA,NA,NA,36.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Cupania",1.07,0.02,NA,NA,NA,NA,118.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Dacrycarpus",0.7,NA,44.3,NA,NA,77.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Dacryodes",0.6,0.02,NA,NA,NA,NA,66.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Dendropanax",1.2,0.04,NA,NA,NA,NA,66.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Dipterocarpus",0.775,0.01,NA,NA,NA,NA,171.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Elaeagnus",1.95,NA,45.45,NA,NA,26.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Elaeocarpus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Embohtrium",0.16,0.02,NA,NA,NA,NA,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Emmotum",0.18,0.02,NA,NA,NA,NA,19.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Erythrina",2.64,0.1,NA,NA,NA,NA,58.5,23,3.185230541,3.210757161,0.168382095,0.168384838,16.67961984,16.67431282,0.167244444,0.1638,49.5788054,49.5788054,24.65734064,24.65581905,2.439980461,2.439980461
"59","Eucalyptus",0.832666666666667,0.129166666666667,54.6,19.2,25.35,86.1,49.9846153846154,24,1.311721207,1.301313497,0.086637645,0.085020747,17.28933255,17.43592238,0.457750266,0.459156481,47.29898132,47.56572313,39.0366759,40.24372539,0.7426,0.7426
"60","Fagaropsis",1.2,0.07,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Fagus",0.993157894736842,0.0784615384615385,48.65,26.8272727272727,34.3,61.3583333333333,39.2857142857143,25,2.673199446,2.747066667,0.164376257,0.16096973,16.33481269,16.5862904,0.118977296,0.120337435,48.38016066,48.22605086,19.56185707,18.90028508,0.793166667,0.787833333
"62","Ficus",1.36117647058824,0.0678571428571429,38.9833333333333,8.3,19.1,27.6,57.8142857142857,26,2.04566408,2.042687473,0.17927694,0.178312392,17.77801073,17.80652371,0.435976734,0.365023001,40.47127883,40.50025142,22.1588636,22.08206261,2.637832338,2.701047055
"63","Fontinalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
