Citation,Sci_name,Genus,Species,Family,Stream_name,perC,perN,perP,CtoN,CtoP,NtoP,How_ratios_were_determined,perLignin,perCellulose
Kennedy and Hobbie 2004 Freshwater Biology,Fraxinus velutina,Fraxinus,,Oleaceae,Jackrabbit Spring,45.2,0.3,,181.8,,,Calculated,4.1,
Kennedy and Hobbie 2004 Freshwater Biology,Schoenoplectus americanus Keller,Schoenoplectus,,Cyperaceae,Jackrabbit Spring,37.9,0.4,,100.5,,,Calculated,10.4,
Kochi and Yanai 2006 Ecol Res,Acer mono,Acer,,Sapindaceae,Migimatazawa,,1,,,,,,,
Kochi and Yanai 2006 Ecol Res,Alnus hirsuta,Alnus,,Betulaceae,Migimatazawa,,1.9,,,,,,,
Kochi and Yanai 2006 Ecol Res,Acer mono,Acer,,Sapindaceae,Migimatazawa,,2.6,,,,,,,
Kochi and Yanai 2006 Ecol Res,Alnus hirsuta,Alnus,,Betulaceae,Migimatazawa,,2.3,,,,,,,
Kochi et al. 2010 JNABS,Acer mono,Acer,,Sapindaceae,Gokibiru River,,1.9,,,,,,,
Kochi et al. 2010 JNABS,Alnus hirsuta,Alnus,,Betulaceae,Gokibiru River,,1.9,,,,,,,
Kochi et al. 2010 JNABS,Quercus crispula,Quercus,,Fagaceae,Gokibiru River,,0.9,,,,,,,
"Kominoski et al. 2007 Ecology, Kominoski and Pringle 2009 FWB",Liriodendron tulipifera,Liriodendron,,Magnoliaceae,Ball Creek,47.9,0.9,0,65.7,6010.3,91.5,Calculated,11.7,19.7
"Kominoski et al. 2007 Ecology, Kominoski and Pringle 2009 FWB",Acer rubrum,Acer,,Sapindaceae,Ball Creek,48.4,0.5,0,108.9,10467.5,96.1,Calculated,9.8,15.5
"Kominoski et al. 2007 Ecology, Kominoski and Pringle 2009 FWB",Quercus prinus,Quercus,,Fagaceae,Ball Creek,49.5,0.8,0,71.7,9861.1,137.5,Calculated,14.4,20.3
"Kominoski et al. 2007 Ecology, Kominoski and Pringle 2009 FWB",Rhododendron maximum,Rhododendron,,Ericaceae,Ball Creek,48.3,0.4,0,143.8,19466.2,135.3,Calculated,11.3,19.4
Kominoski et al. 2009 Oikos,Acer rubrum,Acer,,Sapindaceae,Ball Creek,47.4,0.7,,80.1,,,Calculated,,
Kominoski et al. 2009 Oikos,Liriodendron tulipifera,Liriodendron,,Magnoliaceae,Ball Creek,47.2,1,,53.4,,,Calculated,,
Kominoski et al. 2009 Oikos,Quercus prinus,Quercus,,Fagaceae,Ball Creek,48.5,1.1,,53.4,,,Calculated,,
Kominoski et al. 2009 Oikos,Rhododendron maximum,Rhododendron,,Ericaceae,Ball Creek,48.6,0.4,,129,,,Calculated,,
Kominoski et al. 2011 Ecology,Tsuga heterophylla,Tsuga,,Pinaceae,Big Doneghy,47.9,1.1,,50.8,,,Calculated,,
Kominoski et al. 2011 Ecology,Alnus rubra,Alnus,,Betulaceae,Big Doneghy,47.6,1.9,,29.2,,,Calculated,,
Lecerf and Chauvet 2008 Basic and App Ecol,Alnus glutinosa,Alnus,,Betulaceae,Alzeau River,48.6,3.1,0.2,18.1,721.6,39.8,Calculated,5.5,4.7
Lecerf and Chauvet 2008 Basic and App Ecol,Alnus glutinosa,Alnus,,Betulaceae,Alzeau River,48.3,2.9,0.1,19.2,897.7,46.7,Calculated,8.1,6.6
Lecerf and Chauvet 2008 Basic and App Ecol,Alnus glutinosa,Alnus,,Betulaceae,Alzeau River,46.6,2.8,0.1,19.8,912,46.1,Calculated,5.2,6.1
Lecerf and Chauvet 2008 Basic and App Ecol,Alnus glutinosa,Alnus,,Betulaceae,Alzeau River,47.1,3.4,0.2,16.1,650.7,40.4,Calculated,3.9,4.8
Lecerf and Chauvet 2008 Basic and App Ecol,Alnus glutinosa,Alnus,,Betulaceae,Alzeau River,47.3,2.3,0.1,24.2,2036.5,84.1,Calculated,8.3,7
Lecerf and Chauvet 2008 Basic and App Ecol,Alnus glutinosa,Alnus,,Betulaceae,Alzeau River,49.2,2.1,0,27.5,3738.2,136.1,Calculated,13.4,7.4
Lecerf and Chauvet 2008 Basic and App Ecol,Alnus glutinosa,Alnus,,Betulaceae,Alzeau River,47.8,2.9,0.1,19,1198.9,63.2,Calculated,7.3,6
Lecerf and Chauvet 2008 Basic and App Ecol,Alnus glutinosa,Alnus,,Betulaceae,Alzeau River,47,2.3,0.1,23.5,1411.8,60,Calculated,7,5.7
Lecerf and Chauvet 2008 Basic and App Ecol,Alnus glutinosa,Alnus,,Betulaceae,Alzeau River,49.3,2.6,0.1,22.2,1010.8,45.5,Calculated,13.9,7.4
Lecerf and Chauvet 2008 Basic and App Ecol,Alnus glutinosa,Alnus,,Betulaceae,Alzeau River,49,3,0.1,19.2,1205.6,62.6,Calculated,18.7,10.8
Lecerf and Chauvet 2008 FWB,Alnus glutinosa,Alnus,,Betulaceae,Tescou,47.8,2.9,0.1,19,1198.9,63.2,Calculated,7.3,6
Lecerf and Chauvet 2008 FWB,Alnus glutinosa,Alnus,,Betulaceae,Linon,47,2.3,0.1,23.5,1411.8,60,Calculated,7,5.7
Lecerf et al 2007 Can J Fish and Aq Sci,Quercus robur,Quercus,,Fagaceae,Pyrenees up,53.8,0.9,0,68.2,3309.1,48.5,Calculated,17.8,12
Lecerf et al 2007 Can J Fish and Aq Sci,Polygonum cuspidatum,Polygonum,,Polygonaceae,Pyrenees up,47.6,1,0,56.1,2794.7,49.8,Calculated,13.4,13.1
Lecerf et al 2007 Can J Fish and Aq Sci,Quercus robur,Quercus,,Fagaceae,Pennines ref,53.9,1,0.1,64.8,2531.7,39.1,Calculated,20.8,11.2
Lecerf et al 2007 Can J Fish and Aq Sci,Polygonum cuspidatum,Polygonum,,Polygonaceae,Pennines ref,47.4,1.8,0.1,30.4,1029,33.9,Calculated,13.7,12.8
Lecerf et al 2007 Ecology,Fagus sylvatica,Fagus,,Fagaceae,Alzeau River,48.1,1.2,,47.8,,,Calculated,,
Lecerf et al 2007 Ecology,Quercus robur,Quercus,,Fagaceae,Alzeau River,47.3,1.1,,51.3,,,Calculated,,
Lecerf et al 2007 Ecology,Quercus rubra,Quercus,,Fagaceae,Alzeau River,48.4,0.6,,87.5,,,Calculated,,
Lecerf et al 2007 Ecology,Acer pseudoplatanus,Acer,,Sapindaceae,Alzeau River,44.7,1,,53.9,,,Calculated,,
Lecerf et al 2007 Ecology,Betula pendula,Betula,,Betulaceae,Alzeau River,50.2,1,,58.9,,,Calculated,,
Lecerf et al 2007 Ecology,Ulmus procera,Ulmus,,Ulmaceae,Alzeau River,41.5,0.8,,60.3,,,Calculated,,
Lecerf et al 2007 Ecology,Corylus avellana,Corylus,,Betulaceae,Alzeau River,44.8,1.2,,42.1,,,Calculated,,
Lecerf et al 2007 Ecology,Alnus glutinosa,Alnus,,Betulaceae,Alzeau River,48.4,2.7,,21,,,Calculated,,
Lecerf et al 2007 Ecology,Sambucus nigra,Sambucus,,Caprifoliaceae,Alzeau River,43.1,2.6,,19.7,,,Calculated,,
Lecerf et al 2007 Ecology,Fraxinus excelsior,Fraxinus,,Oleaceae,Alzeau River,43.2,2.4,,20.7,,,Calculated,,
Lecerf et al 2007 Ecology,Fagus sylvatica,Fagus,,Fagaceae,unamed stream in Romania,46.8,0.9,,64.2,,,Calculated,,
Lecerf et al 2007 Ecology,Quercus robur,Quercus,,Fagaceae,unamed stream in Romania,46.7,0.8,,66.8,,,Calculated,,
Lecerf et al 2007 Ecology,Quercus rubra,Quercus,,Fagaceae,unamed stream in Romania,47.8,0.8,,73.9,,,Calculated,,
Lecerf et al 2007 Ecology,Acer pseudoplatanus,Acer,,Sapindaceae,unamed stream in Romania,42.8,0.9,,56.2,,,Calculated,,
Lecerf et al 2007 Ecology,Betula pendula,Betula,,Betulaceae,unamed stream in Romania,46.1,1,,51.4,,,Calculated,,
Lecerf et al 2007 Ecology,Ulmus procera,Ulmus,,Ulmaceae,unamed stream in Romania,42.2,1.5,,32,,,Calculated,,
Lecerf et al 2007 Ecology,Corylus avellana,Corylus,,Betulaceae,unamed stream in Romania,43.6,1.1,,47.5,,,Calculated,,
Lecerf et al 2007 Ecology,Alnus glutinosa,Alnus,,Betulaceae,unamed stream in Romania,47.6,3.3,,17,,,Calculated,,
Lecerf et al 2007 Ecology,Sambucus nigra,Sambucus,,Caprifoliaceae,unamed stream in Romania,42.9,4,,12.5,,,Calculated,,
Lecerf et al 2007 Ecology,Fraxinus excelsior,Fraxinus,,Oleaceae,unamed stream in Romania,43.8,2.4,,21.2,,,Calculated,,
LeRoy and Marks 2006 Freshwater Biology,Alnus oblongifolia,Alnus,,Betulaceae,"Fossil Creek, AZ",,1.3,0.1,,,58,Calculated,,
LeRoy and Marks 2006 Freshwater Biology,Fraxinus velutina,Fraxinus,,Oleaceae,"Fossil Creek, AZ",,0.7,0.2,,,6.8,Calculated,,
LeRoy and Marks 2006 Freshwater Biology,Platanus wrightii,Platanus,,Platanaceae,"Fossil Creek, AZ",,0.6,0.1,,,10.2,Calculated,,
LeRoy and Marks 2006 Freshwater Biology,Populus fremontii,Populus,,Salicaceae,"Fossil Creek, AZ",,0.4,0,,,23.3,Calculated,,
LeRoy and Marks 2006 Freshwater Biology,Quercus gambelii,Quercus,,Fagaceae,"Fossil Creek, AZ",,0.9,0.3,,,7.5,Calculated,,
LeRoy et al. 2006 Ecology,Populus angustifolia,Populus,,Salicaceae,"Oak Creek, AZ",47,0.5,0.1,121.1,1641.5,13.6,Calculated,,
LeRoy et al. 2006 Ecology,Populus fremontii,Populus,,Salicaceae,"Oak Creek, AZ",42.9,0.4,0,115.6,2578.2,22.3,Calculated,,
LeRoy et al. 2006 Ecology,Populus x hinckleyana,Populus,,Salicaceae,"Oak Creek, AZ",45.5,0.6,0.1,84.1,1566,18.6,Calculated,,
LeRoy et al. 2006 Ecology,Populus x hinckleyana,Populus,,Salicaceae,"Oak Creek, AZ",44.3,0.5,0,107.6,2334.5,21.7,Calculated,,
LeRoy et al. 2007 JNABS,Populus fremontii,Populus,,Salicaceae,"Weber River, UT",40.3,0.5,0.1,88.2,1554.3,17.6,Calculated,6.4,
LeRoy et al. 2007 JNABS,Populus fremontii,Populus,,Salicaceae,"Weber River, UT",41.6,0.3,0.1,158,745.8,4.7,Calculated,4.4,
LeRoy et al. 2007 JNABS,Populus fremontii,Populus,,Salicaceae,"Weber River, UT",44.2,0.5,0,98.2,4226,43.1,Calculated,4.9,
LeRoy et al. 2007 JNABS,Populus fremontii,Populus,,Salicaceae,"Weber River, UT",41.3,0.4,0,111.4,3682.5,33.1,Calculated,4.7,
LeRoy et al. 2007 JNABS,Populus fremontii,Populus,,Salicaceae,"Weber River, UT",43,0.5,0,104.4,3834.4,36.7,Calculated,5.4,
LeRoy et al. 2007 JNABS,Populus x hinckleyana,Populus,,Salicaceae,"Weber River, UT",43.3,0.5,0.1,107.7,1332,12.4,Calculated,11.6,
LeRoy et al. 2007 JNABS,Populus x hinckleyana,Populus,,Salicaceae,"Weber River, UT",43.5,0.5,0.1,106.2,1560.9,14.7,Calculated,19.7,
LeRoy et al. 2007 JNABS,Populus x hinckleyana,Populus,,Salicaceae,"Weber River, UT",44.9,0.5,0,110.9,2520.6,22.7,Calculated,9.2,
LeRoy et al. 2007 JNABS,Populus x hinckleyana,Populus,,Salicaceae,"Weber River, UT",45.4,0.4,0,137.7,4192.9,30.4,Calculated,13.9,
LeRoy et al. 2007 JNABS,Populus x hinckleyana,Populus,,Salicaceae,"Weber River, UT",42.9,0.3,0.2,154,688.2,4.5,Calculated,9,
LeRoy et al. 2007 JNABS,Populus x hinckleyana,Populus,,Salicaceae,"Weber River, UT",44.6,0.6,0.1,91.7,1252,13.6,Calculated,21.1,
LeRoy et al. 2007 JNABS,Populus x hinckleyana,Populus,,Salicaceae,"Weber River, UT",45.7,0.4,0.1,147.3,894.6,6.1,Calculated,30.9,
LeRoy et al. 2007 JNABS,Populus x hinckleyana,Populus,,Salicaceae,"Weber River, UT",45.5,0.3,0.1,154.6,788.2,5.1,Calculated,23.5,
LeRoy et al. 2007 JNABS,Populus x hinckleyana,Populus,,Salicaceae,"Weber River, UT",43.9,0.5,0.1,112.6,2100.7,18.7,Calculated,20.1,
LeRoy et al. 2007 JNABS,Populus x hinckleyana,Populus,,Salicaceae,"Weber River, UT",44.2,0.6,0.1,93.3,967.8,10.4,Calculated,18.1,
LeRoy et al. 2007 JNABS,Populus angustifolia,Populus,,Salicaceae,"Weber River, UT",45.6,0.5,0.2,98.9,662,6.7,Calculated,21.6,
LeRoy et al. 2007 JNABS,Populus angustifolia,Populus,,Salicaceae,"Weber River, UT",45.2,0.5,0,98,3154.9,32.2,Calculated,17.7,
LeRoy et al. 2007 JNABS,Populus angustifolia,Populus,,Salicaceae,"Weber River, UT",44.8,0.5,0,106.9,3308.6,30.9,Calculated,23.6,
LeRoy et al. 2007 JNABS,Populus angustifolia,Populus,,Salicaceae,"Weber River, UT",43.9,0.6,0.3,90.5,441.1,4.9,Calculated,19.3,
LeRoy et al. 2007 JNABS,Populus angustifolia,Populus,,Salicaceae,"Weber River, UT",44.9,0.4,0.2,128.3,527,4.1,Calculated,21.3,
"Li and Dudgeon 2009 JNABS, Li et al. Aquatic Science 2009",Liquidambar formosana,Liquidambar,,Hamamelidaceae,Tsing Lung Tau,44.9,1.2,,43.6,,,Calculated,,
Li et al. 2009 Aquatic Science,Arundinaria shiuyingiana,Arundinaria,,Poaceae,Tai Po Kau Forest Stream,39.2,1.6,,28.6,,,Calculated,,
Li et al. 2009 Aquatic Science,Ficus fistulosa,Ficus,,Moraceae,Tai Po Kau Forest Stream,38.3,2.2,,20.3,,,Calculated,,
Li et al. 2009 Aquatic Science,Indocalamus sinicus,Indocalamus,,Poaceae,Tai Po Kau Forest Stream,43.7,1.5,,34,,,Calculated,,
Li et al. 2009 Aquatic Science,Livistona chinensis,Livistona,,Arecaceae,Tai Po Kau Forest Stream,44.2,1.6,,32.2,,,Calculated,,
Li et al. 2009 Aquatic Science,Melaleuca quinquenervia,Melaleuca,,Myrtaceae,Tai Po Kau Forest Stream,47.6,1.7,,32.7,,,Calculated,,
Li et al. 2009 Aquatic Science,Pandanus furcatus,Pandanus,,Pandanaceae,Tai Po Kau Forest Stream,42.3,1,,49.4,,,Calculated,,
Lohr et al. 2006 Hydrobiologia,Bambusa sp.,Bambusa,,Poaceae,Kali Sengon River,,,,17.6,,,Reported,,
Lohr et al. 2006 Hydrobiologia,Tectona grandis,Tectona,,Verbenaceae,Kali Sengon River,,,,20.9,,,Reported,,
Maloney and Lamberti 1994 AMN,Acer saccharum,Acer,,Sapindaceae,Tenderfoot Creek,44.7,1.8,,29.3,,,Calculated,,
Maloney and Lamberti 1994 AMN,Cornus sericea,Cornus,,Cornaceae,Tenderfoot Creek,45.7,1.8,,29.8,,,Calculated,,
Maloney and Lamberti 1994 AMN,Alnus incana ssp. rugosa,Alnus,,Betulaceae,Tenderfoot Creek,47.6,2.3,,24.4,,,Calculated,,
Maloney and Lamberti 1994 AMN,Myrica gale,Myrica,,Myricaceae,Tenderfoot Creek,50.5,2.4,,25.1,,,Calculated,,
Maloney and Lamberti 1994 AMN,Tsuga canadensis,Tsuga,,Pinaceae,Tenderfoot Creek,49.6,0.9,,62.2,,,Calculated,,
Mathuriau and Chauvet 2002 JNABS,Croton gossypifolius,Croton,,Euphorbiaceae,Cabuyal,46.4,1.9,,28.3,,,Calculated,26.4,22.1
Mathuriau and Chauvet 2002 JNABS,Clidemia sp.,Clidemia,,Melastomataceae,Cabuyal,45.2,1.3,,42.2,,,Calculated,16,12.4
McHargue & Roy 1932,Ulmus americana,Ulmus,,,,,2.1,0.1,,,36.3,Calculated,14.9,
Menedez et al. 2003 Hydrobiologia,Populus nigra,Populus,,Salicaceae,Senia stream,48.6,1.1,0.1,51.8,1580.9,30.5,Calculated,,
Menedez et al. 2003 Hydrobiologia,Populus alba,Populus,,Salicaceae,Senia stream,59.2,2.2,0.1,31.8,1362,42.8,Calculated,,
Menedez et al. 2003 Hydrobiologia,Populus nigra,Populus,,Salicaceae,Senia stream,,1,0.1,,,31,Calculated,,
Menedez et al. 2003 Hydrobiologia,Populus alba,Populus,,Salicaceae,Senia stream,,2.1,0.1,,,45.6,Calculated,,
Menendez et al. 2001 IRH,Phragmites australis,Phragmites,,Poaceae,Senia stream,,2.9,,,,,,,
Menendez et al. 2001 IRH,Populus nigra,Populus,,Salicaceae,Senia stream,,1,,,,,,,
Menendez et al. 2001 IRH,Potamogeton coloratus,Potamogeton,,Potamogetonaceae,Senia stream,,2,,,,,,,
Menendez et al. 2001 IRH,Phragmites australis,Phragmites,,Poaceae,Senia stream,,2.7,,,,,,,
Menendez et al. 2001 IRH,Populus nigra,Populus,,Salicaceae,Senia stream,,0.9,,,,,,,
Menendez et al. 2001 IRH,Potamogeton coloratus,Potamogeton,,Potamogetonaceae,Senia stream,,2.1,,,,,,,
Mills et al. 2001 Archiv fur Hydrobiologie,Liquidambar styraciflua,Liquidambar,,Hamamelidaceae,Upper Three Runs Creek,,,,56.5,,,Reported,,
Mills et al. 2001 Archiv fur Hydrobiologie,Quercus nigra,Quercus,,Fagaceae,Upper Three Runs Creek,,,,70.7,,,Reported,,
Molinero et al. 1996 FWB,Castanea sativa,Castanea,,Fagaceae,Site 1,,1.2,0,,,86.1,Calculated,,
Molinero et al. 1996 FWB,Castanea sativa,Castanea,,Fagaceae,Site B,,1.1,0,,,80,Calculated,,
Molinero et al. 1996 FWB,Quercus robur,Quercus,,Fagaceae,Site 1,,1.1,0,,,85.5,Calculated,,
Molinero et al. 1996 FWB,Eucalyptus globulus,Eucalyptus,,Myrtaceae,Site 1,,0.6,0,,,75.9,Calculated,,
Molinero et al. 1996 FWB,Eucalyptus globulus,Eucalyptus,,Myrtaceae,Site B,,0.6,0,,,73.4,Calculated,,
Moore & Aber 1994,Picea abies,Picea,,,,,1.1,,,,,,18,35.8
Moore & Aber 1994,Pinus strobus,Pinus,,,,,1.2,,,,,,24.8,32.6
Moore et al 2006,Betula papyrifera,Betula,,,,48,0.7,0,77.8,3263.2,42,Calculated,24,
Moore et al 2006,Fagus grandifolia,Fagus,,,,47,0.7,0,77.2,3372.7,43.7,Calculated,28,
Moore et al 2006,Populus tremuloides,Populus,,,,46.8,0.7,0.1,81.5,952,11.7,Calculated,14.4,
Moretti et al. 2007 Limnologica,Myrcia guyanensis,Myrcia,,Myrtaceae,Garcia stream,,1,0,,,70.1,Calculated,,
Moretti et al. 2007 Limnologica,Ocotea sp.,Ocotea,,Lauraceae,Garcia stream,,1.1,0,,,81.9,Calculated,,
Moretti et al. 2007 Limnologica,Miconia chartacea,Miconia,,Melastomataceae,Garcia stream,,0.9,0,,,72.2,Calculated,,
Moretti et al. 2007 Limnologica,Protium brasiliense,Protium,,Burseraceae,Garcia stream,,1,0,,,80.4,Calculated,,
Moretti et al. 2007 Limnologica,Protium heptaphyllum,Protium,,Burseraceae,Garcia stream,,0.9,0,,,88.6,Calculated,,
Mutch & Davies 1984,Salix drummondiana,Salix,,Salicaceae,Twin Creek,,,,31.6,,,Reported,,
Mutch & Davies 1984,Salix drummondiana,Salix,,Salicaceae,Twin Creek,,,,34.1,,,Reported,,
Muto et al. 2011 Hydrobiologia,Alnus incana ssp. rugosa,Alnus,,Betulaceae,White River catchment,52.2,2.6,0,23.4,3371.3,143.9,Calculated,,
Muto et al. 2011 Hydrobiologia,Betula papyrifera,Betula,,Betulaceae,White River catchment,51.7,1.2,0,50.3,4451.9,88.6,Calculated,,
Muto et al. 2011 Hydrobiologia,Populus tremuloides,Populus,,Salicaceae,White River catchment,51.9,1,0.1,58.2,2681.5,46.1,Calculated,,
Neiff and deNeiff_1990_Hydrobiologia,Tessaria integrifolia,Tessaria,,Asteridae,Parana River,,3.9,0,,,235.2,Calculated,11,19.2
Nelson and Andersen_2007_Southwestern Naturalist,Populus deltoides ssp. wislizeni,Populus,,Salicaceae,Yampa River,,0.5,,,,,,,
Nelson and Andersen_2007_Southwestern Naturalist,Populus deltoides ssp. wislizeni,Populus,,Salicaceae,Yampa River,,0.6,,,,,,,
Nelson_2011_Int Rev Hydrobiol,Schoenoplectus acutus,Schoenoplectus,,Cyperaceae,Las Vegas Wash ,,0.5,0,,,24.6,Calculated,5.8,
Nelson_2011_Int Rev Hydrobiol,Typha domingensis,Typha,,Typhaceae,Las Vegas Wash ,,0.4,0,,,33.3,Calculated,7.9,
Nelson_2011_Int Rev Hydrobiol,Phragmites australis,Phragmites,,Poaceae,Las Vegas Wash ,,0.3,0,,,24.4,Calculated,6.9,
Niu and Dudgeon_2011_Hydrobiologia,Liquidambar formosana,Liquidambar,,Hamamelidaceae,Pak Sha O,44.4,1.2,,43.2,,,Calculated,,
Ostrofsky 1997 JNABS,Acer negundo,Acer,,,,41.2,1.7,0.1,28.1,950.6,33.8,Calculated,25.4,
Ostrofsky 1997 JNABS,Acer platanoides,Acer,,,,40.8,1.1,0.3,41.8,396.4,9.5,Calculated,20.4,
Ostrofsky 1997 JNABS,Acer rubrum,Acer,,,,48.3,0.9,0.2,61.3,770.2,12.6,Calculated,19.9,
Ostrofsky 1997 JNABS,Acer saccharinum,Acer,,,,47.1,1.6,0.2,35.5,538.6,15.2,Calculated,15.5,
Ostrofsky 1997 JNABS,Acer saccharum,Acer,,,,44.5,0.7,0.4,71.1,279.4,3.9,Calculated,21.5,
Ostrofsky 1997 JNABS,Alnus incana ssp. Rugosa,Alnus,,,,47.6,2.3,0.1,24.2,878.5,36.4,Calculated,27,
Ostrofsky 1997 JNABS,Carya glabra,Carya,,,,43.8,0.6,0.1,82.5,871.1,10.6,Calculated,33.1,
Ostrofsky 1997 JNABS,Cornus florida,Cornus,,,,46.6,0.5,0.1,113.2,1190.9,10.5,Calculated,13.3,
Ostrofsky 1997 JNABS,Fagus grandifolia,Fagus,,,,47.6,1.3,0.1,43.4,1217.9,28.1,Calculated,33.2,
Ostrofsky 1997 JNABS,Fraxinus americana,Fraxinus,,,,45.7,1,0.2,54.4,674.1,12.4,Calculated,31,
Ostrofsky 1997 JNABS,Juglans nigra,Juglans,,,,45.4,2.5,0.3,21,399.9,19,Calculated,25.2,
Ostrofsky 1997 JNABS,Liquidambar styraciflua,Liquidambar,,,,45.9,0.4,0.1,140.9,1624.5,11.5,Calculated,33.1,
Ostrofsky 1997 JNABS,Liriodendron tulipifera,Liriodendron,,,,45.4,0.9,0.1,57.6,1107.6,19.2,Calculated,27.8,
Ostrofsky 1997 JNABS,Nyssa sylvatica,Nyssa,,,,46.1,0.8,0.4,68,274.8,4,Calculated,17.2,
Ostrofsky 1997 JNABS,Platanus occidentalis,Platanus,,,,48,1,0.1,58.9,1392.5,23.6,Calculated,38.9,
Ostrofsky 1997 JNABS,Populus deltoides,Populus,,,,46.9,2.4,0.1,23,1376.4,59.9,Calculated,25.4,
Ostrofsky 1997 JNABS,Populus grandidentata,Populus,,,,48.2,0.9,0.1,61.1,1500.4,24.5,Calculated,33,
Ostrofsky 1997 JNABS,Populus tremuloides,Populus,,,,38.8,1.1,0.1,39.7,1088.4,27.4,Calculated,28.8,
Ostrofsky 1997 JNABS,Prunus serotina,Prunus,,,,49.8,1.7,0.2,34.8,779.2,22.4,Calculated,22.4,
Ostrofsky 1997 JNABS,Quercus alba,Quercus,,,,45.1,0.7,0.2,78.5,549.5,7,Calculated,36.7,
Ostrofsky 1997 JNABS,Quercus coccinea,Quercus,,,,48.5,0.7,0.1,76.4,894.4,11.7,Calculated,26.2,
Ostrofsky 1997 JNABS,Quercus prinus,Quercus,,,,48.5,0.7,0.2,80.9,819.1,10.1,Calculated,30.6,
Ostrofsky 1997 JNABS,Quercus rubra,Quercus,,,,49.6,0.5,0.1,109.2,1490.2,13.6,Calculated,36,
Ostrofsky 1997 JNABS,Salix nigra,Salix,,,,47,2.2,0.1,24.5,1004.3,41,Calculated,37.2,
Ostrofsky 1997 JNABS,Ulmus sp.,Ulmus,,,,43.8,0.6,0.1,86.7,1155.6,13.3,Calculated,24.5,
Perez et al 2011 Int Rev Hydrobiologia,Alnus glutinosa,Alnus,,Betulaceae,Ag1,51,2.7,0.1,22,1197.7,54.4,Calculated,,
Perez et al 2011 Int Rev Hydrobiologia,Alnus glutinosa,Alnus,,Betulaceae,Fui1,47,2.5,0.2,21.9,505.9,23.1,Calculated,,
Polyakova & Billor 2007,Liquidambar styraciflua,Liquidambar,,,,44.3,1.1,0.2,47.9,636.1,13.3,Calculated,,
Polyakova & Billor 2007,Liriodendron tulipifera,Liriodendron,,,,42.4,0.9,0.2,54.9,729.5,13.3,Calculated,,
Polyakova & Billor 2007,Quercus nigra,Quercus,,,,47.9,1.1,0.2,50.8,773.4,15.2,Calculated,,
Polyakova & Billor 2007,Ulmus americana,Ulmus,,,,47.9,1,0.1,54.3,883.9,16.3,Calculated,,
Pozo et al_1998_Hydrobiologia,Alnus glutinosa,Alnus,,Betulaceae,Salderrey,,2.8,0.8,,,7.9,Calculated,,
Pozo et al_1998_Hydrobiologia,Eucalyptus globulus,Eucalyptus,,Myrtaceae,Salderrey,,0.9,0.4,,,5.8,Calculated,,
Pozo et al_1998_Hydrobiologia,Eucalyptus globulus,Eucalyptus,,Myrtaceae,unnamed,,0.9,0.4,,,5.8,Calculated,,
Pozo et al_1998_Hydrobiologia,Eucalyptus globulus,Eucalyptus,,Myrtaceae,Agu_era,,0.9,0.4,,,5.8,Calculated,,
Prescott et al 2004,Alnus rubra,Alnus,,,,51.9,2.2,0.1,27.5,2234.6,81.2,Calculated,18.7,
Prescott et al 2004,Pinus ponderosa,Pinus,,,,48.4,0.6,0.1,94.1,1302.4,13.8,Calculated,27.7,
Prescott et al 2004,Populus balsamifera ssp. trichocarpa,Populus,,,,47.7,1,0.1,54.6,1540.3,28.2,Calculated,2,
Prescott et al 2004,Populus tremuloides,Populus,,,,46.8,0.5,2,101.1,60.5,0.6,Calculated,18.6,
Prescott et al 2004,Tsuga heterophylla,Tsuga,,,,50.3,0.8,0.1,77.2,1427.9,18.5,Calculated,33.9,
Quinn et al 2000 New Zealand J of Marine and FW Research,Aristotelia serrata,Aristotelia,,Elaeocarpaceae,Mangaotama,,,,54,,,Reported,,
Quinn et al 2000 New Zealand J of Marine and FW Research,Populus x canadensis,Populus,,Salicaceae,Mangaotama,,,,18,,,Reported,,
Quinn et al 2000 New Zealand J of Marine and FW Research,Knightia excelsa,Knightia,,Proteaceae,Mangaotama,,,,129,,,Reported,,
Raviraja et al 1998 FW Biology,Ficus benghalensis,Ficus,,Moraceae,Nethravathi,,1.2,0,,,200.5,Calculated,,
Raviraja et al 1998 FW Biology,Eucalyptus globulus,Eucalyptus,,Myrtaceae,Nethravathi,,1,0,,,233.1,Calculated,,
Rier et al. JNABS 2002,Populus tremuloides,Populus,,Salicaceae,East Branch Maple river,,,,28,,,Reported,11.7,
Robinson et al 2000 JNABS,Larix decidua,Larix,,Pinaceae,Val Roseg - kryal stream,,0.2,0,,,,,,
"Robinson et al. 1998 Freshw Biol, Gessner et al. 1998 J-NABS",Alnus viridis,Alnus,,Betulaceae,Val Roseg proglacial stream,,2.1,0.1,,,37.9,Calculated,,
"Robinson et al. 1998 Freshw Biol, Gessner et al. 1998 J-NABS",Alnus viridis,Alnus,,Betulaceae,Val Roseg lake outlet,,2,0.1,,,36.6,Calculated,,
"Robinson et al. 1998 Freshw Biol, Gessner et al. 1998 J-NABS",Alnus viridis,Alnus,,Betulaceae,Val Roseg mainstem,,2.4,0.1,,,41.3,Calculated,,
"Robinson et al. 1998 Freshw Biol, Gessner et al. 1998 J-NABS",Alnus viridis,Alnus,,Betulaceae,Val Roseg side channel,,2.1,0.1,,,35.1,Calculated,,
Rosemond et al. 2009 Oikos,Acer rubrum,Acer,,Sapindaceae,C53,,,,108,,,Reported,,
