Genus,N_Leaf_Mn,N_Leaf_Med,P_Leaf_Mn,P_Leaf_Med,NtoP_Leaf_Mn,NtoP_Leaf_Med,Thick_Mn,Thick_Med,C_Leaf_Mn,C_Leaf_Med,CtoN_Leaf_Mn,CtoN_Leaf_Med,Ca_Leaf_Mn,Ca_Leaf_Med
Liriodendron,2.285142214,2.248383333,0.127867643,0.12,14.5922245,14.33931638,0.169923077,0.17,46.035625,46.94,35.97201353,35.59525704,1.02,1.02
Luehea,2.156173523,2.172762373,0.138005885,0.132002495,20.80420189,20.80420189,0.212700913,0.210833333,48.14297727,48.10260247,22.16292615,21.74854114,1.393751766,1.393751766
Melaleuca,1.166579732,1.165330353,0.057704974,0.057291296,19.77163517,19.53996869,0.41693156,0.410981163,49.549757,49.549757,43.36605246,43.36605246,0.96,0.96
Miconia,2.019590242,2.011995879,0.092003645,0.090090479,21.0256773,21.08344604,0.245375684,0.24494154,46.33591146,46.31703569,22.01366829,21.89539896,1.115320459,1.072192086
Myrica,1.987908705,1.976635498,0.070385656,0.065429091,32.17534814,32.17534814,0.195372864,0.188965333,42.12000066,42.12000066,26.3492728,26.3492728,0.815666667,0.463
Nothofagus,1.411973804,1.42355,0.108210681,0.1107583,12.86789946,12.94502095,0.333534881,0.333253631,51.74159524,52.13714286,31.71856651,31.56911295,0.726333333,0.726333333
Nyssa,1.344791667,1.3725,0.124419048,0.1248,11.3642063,11.86425339,0.118721939,0.1205,45.91333333,45.91333333,52.4442875,52.4442875,0.94,0.94
Ocotea,2.135093357,2.148661876,0.090307492,0.090683785,23.73618891,23.77405173,0.223429057,0.223319894,49.48610739,49.53910559,24.711627,24.8998908,0.453658199,0.445485107
Phragmites,2.127890243,2.057614484,0.122025164,0.122960735,29.32776705,17.0875432,0.223851852,0.232777778,43.59792307,44.56322791,22.91288825,23.06096189,1.201541909,1.188305945
Picea,1.355054344,1.35410643,0.147718682,0.145190064,8.948934218,8.89361122,2.642593993,2.360288363,44.15062697,44.01805319,49.50033255,49.64460507,0.643273051,0.63754375
Pinus,1.182714308,1.163657553,0.110467823,0.102268067,13.95446679,13.93903648,2.280047569,2.238235157,48.29694827,48.39573082,48.45692077,48.07498421,0.313516482,0.28675
Platanus,2.323822846,2.3833985,0.28055,0.27905,14.7152172,14.44256757,0.202653846,0.202653846,47.66,47.66,41.37821675,41.37821675,1.201541909,1.188305945
Polygonum,2.887628796,2.744751325,0.200331371,0.205388669,18.00015913,17.49169148,0.182142323,0.178433333,43.89387384,44.06531219,19.69630143,19.62851315,1.567083333,1.5075
Populus,2.152336453,2.17033339,0.146105296,0.14365357,12.38952156,12.13898309,0.213284254,0.211719011,46.47447871,46.61981338,29.04748221,26.58845596,1.669141667,1.561625
Protium,1.792960439,1.778385367,0.074874289,0.07368584,23.47618611,23.06166305,0.18032527,0.177373289,46.42629542,46.48634731,26.06323473,25.72492476,0.657675516,0.652905698
Prunus,2.05010031,2.061374582,0.160757584,0.154741612,14.09584231,14.22297691,0.220514523,0.219151163,46.96167914,47.00739138,29.47499748,29.03829453,1.635332457,1.609895775
Quercus,1.777810016,1.768636401,0.143452812,0.138331442,14.89394638,14.96330039,0.208790479,0.208653511,46.30449648,46.32740311,39.1407471,38.58271109,0.96223085,0.935610645
Rhododendron,1.346575046,1.336562441,0.108177125,0.108359899,13.40432382,13.33877077,0.288294626,0.287313725,45.54838802,45.68754194,34.45749353,34.45749353,1.167048889,1.1652
Rubus,2.25859018,2.254018511,0.217235192,0.216756045,12.90444216,12.9080044,0.1781875,0.178038194,43.98179523,43.9767374,22.96258759,22.93649527,1.4675,1.4675
Salix,2.366129036,2.368469477,0.214539171,0.213230492,12.81032113,12.92185551,0.193128867,0.196248895,47.92031717,48.0222704,21.83001039,21.90285925,2.009632653,2.023428571
Sambucus,3.386671341,3.372745283,0.269878701,0.273029404,13.76128542,14.00228871,0.109684314,0.1065,42.97111514,42.93187533,10.45255523,11.3809759,1.63,1.64
Schefflera,1.751549024,1.736138062,0.122026675,0.113639298,16.8321517,17.10394736,0.36883767,0.319245,47.6312922,47.50733672,29.03611356,29.02901617,1.631435249,1.609500275
Simira,2.339848909,2.126183439,0.173546404,0.181885467,24.66666667,24.66666667,0.154541015,0.161053505,47.24902788,47.43049425,18.07904383,18.34435917,1.201469235,1.068134615
Syzygium,1.335287563,1.348906714,0.090825919,0.094221208,17.10447414,17.32376012,0.410452381,0.348333333,51.53910023,51.51682256,42.75943629,42.75943629,0.962733333,0.928
Terminalia,1.978500735,1.973454243,0.141105495,0.143203379,17.71123689,18.0936316,0.223414445,0.221227768,44.27009924,44.39192933,24.13134812,24.08184606,1.522051555,1.451699084
Tilia,2.390968835,2.389004078,0.234510975,0.238039866,12.221702,11.4654411,0.16027223,0.161219624,45.24249539,45.67458547,28.76559824,28.56330754,1.945,1.945
Trema,2.606943455,2.632760507,0.211412311,0.208000802,16.98117129,16.64481356,0.196337079,0.196333333,44.34913117,44.34913117,14.65701673,14.65701673,1.676666667,1.62
Tsuga,1.060968889,1.065071429,0.137554076,0.138,7.962161675,7.098211392,7.619458333,7.617833333,46.82,46.82,57.2,57.2,1.201541909,1.188305945
Ulmus,2.145327709,2.189974218,0.189717513,0.183638791,13.63925551,13.83010314,0.174123408,0.169910058,41.032666,41.6581719,32.17552362,31.8265999,3.31,3.31
