"","Rivers","Strip.ID","Location","Replication","Tensile.strength","Tensile.loss.per.day","Lat","Long","Altitude..m.","Temp.C","Conductivity.us.m","TDS..mg.l.","DO..mg.l.","pH","Turbidity..NTU.","ORP","Flow.rate..m.s.","Cross.section..m2.","Discharge..m3.s.","kdr","kds"
"21","Nairobi River","8NR","Riparian Upstream ",2,48,-1.377414562,-1.243828,36.897307,1576,19.02,854,625,1.48,6.49,99.5,58,1,2.7,2.7,-5.10942649349446,-4.14371399070063
"22","Nairobi River","8NR","Riparian Downstream",1,43,-1.129767211,-1.243828,36.897307,1576,19.02,854,625,1.48,6.49,99.5,58,1,2.7,2.7,-5.10942649349446,-4.14371399070063
"23","Nairobi River","8NR","Riparian Downstream",2,60.1,-1.976721149,-1.243828,36.897307,1576,19.02,854,625,1.48,6.49,99.5,58,1,2.7,2.7,-5.10942649349446,-4.14371399070063
"24","Nairobi River","8NR","In water Downstream",1,0,1,-1.243828,36.897307,1576,19.02,854,625,1.48,6.49,99.5,58,1,2.7,2.7,-5.10942649349446,-4.14371399070063
"25","Ragati River","1RR","Riparian Upstream ",1,44.7,-1.213967311,-0.383066,37.158568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.904,-3.88421834157625,-3.04643854670476
"26","Ragati River","1RR","Riparian Upstream ",2,37,-0.832590391,-0.383066,37.158568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.904,-3.88421834157625,-3.04643854670476
"27","Ragati River","1RR","In water Downstream",1,2.8,0.861317484,-0.383066,37.158568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.904,-3.88421834157625,-3.04643854670476
"28","Ragati River","1RR","In water Upstream ",1,3.9,0.806835067,-0.383066,37.158568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.904,-3.88421834157625,-3.04643854670476
"29","Ragati River","1RR","In water Downstream",2,4.3,0.787023279,-0.383066,37.158568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.904,-3.88421834157625,-3.04643854670476
"30","Ragati River","1RR","Riparian Downstream",1,42.4,-1.100049529,-0.383066,37.158568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.904,-3.88421834157625,-3.04643854670476
"31","Ragati River","1RR","In water Upstream ",2,4.2,0.791976226,-0.383066,37.158568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.904,-3.88421834157625,-3.04643854670476
"32","Ragati River","1RR","Riparian Downstream",2,2.2,0.891035166,-0.383066,37.158568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.904,-3.88421834157625,-3.04643854670476
"33","Ragati River","2RR","In water Downstream",1,5.5,0.727587915,-0.48617,37.14902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.144,-3.88421834157625,-3.04643854670476
"34","Ragati River","2RR","In water Downstream",2,0.3,0.985141159,-0.48617,37.14902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.144,-3.88421834157625,-3.04643854670476
"35","Ragati River","2RR","Riparian Upstream ",1,31.4,-0.555225359,-0.48617,37.14902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.144,-3.88421834157625,-3.04643854670476
"36","Ragati River","2RR","Riparian Upstream ",2,50.5,-1.501238237,-0.48617,37.14902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.144,-3.88421834157625,-3.04643854670476
"37","Ragati River","2RR","Riparian Downstream",1,20.7,-0.02526003,-0.48617,37.14902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.144,-3.88421834157625,-3.04643854670476
"38","Ragati River","2RR","Riparian Downstream",2,58.7,-1.907379891,-0.48617,37.14902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.144,-3.88421834157625,-3.04643854670476
